"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29"
"12";-0,714260606214261;-0,699337754335392;-0,863226229677525;-0,589105281652927;-0,320467365928766;-0,41560839085529;-4,20030780973896;-4,09352416674232;-0,554113320247451;0,283079147958698;-0,677840236563217;-0,753099170420543;1,10179556125808;-0,124149759398178;-0,628622072958062;2,05897039161919;-1,75012173616561;0,452451746928203;1,80165022225247;-1,30052197689139;-1,35351110788244;0,875370224561153;-0,00340993248901979;-0,457686634739972;-0,671891399128856;-0,589105281652927;-0,389541747479863;-0,983057689248022;3,08876391446663
"13";-0,731732644081033;-0,701899539721309;-0,869079467524951;-0,605723885816438;-0,347467695758603;-0,550739529912402;-3,98726364722349;-4,11018090343966;-0,712960698549695;0,0793620734990505;-0,671338213013641;-0,685293605874143;1,04574865895429;0,0193189817005094;-0,498855857018225;2,09306744751653;-1,73758930911906;0,358719071039467;1,73693598208154;-1,13824218047107;-1,21464351443581;0,736010454935741;-0,00776186139597817;-0,512518885606833;-0,679137856270615;-0,605723885816438;-0,399556230092189;-0,983057689248022;2,10468036453528
"14";-0,733210115499117;-0,680607791714961;-0,862904976672243;-0,615215234002647;-0,372128809343679;0,151963186732035;-3,38967569732142;-3,99831188866486;-0,0696180138961002;0,399032704394386;-0,581067891246347;-0,692711395240822;1,08500738423474;0,196427618317538;-0,35725736664862;2,03635394893803;-1,43903918846087;0,108517264434391;0,889997336065886;-1,13824218047107;-1,35351110788244;0,596650685310329;-0,0057430964459016;-0,516590819517608;-0,922407380225615;-0,615215234002647;-0,406953636469615;-0,983057689248022;2,53165265320157
"15";-0,738388089810772;-0,672358695599942;-0,862872166030026;-0,623859399379965;-0,389160845885631;-0,0715806738054311;-3,03375759218935;-3,83425199544651;-0,281828864483164;0,0921907433231406;-0,590921994294276;-0,609937495104394;1,0338236799126;0,343675313714761;-0,212563785696221;1,98369141454371;-1,46392522775516;0,019983415879514;0,889997336065886;-1,05710228226091;-1,35351110788244;0,457290915684917;-0,005926387836161;-0,50265651516894;-0,922407380225615;-0,623859399379965;-0,415497038129437;-0,983057689248022;1,51044966712553
"16";-0,720504884955816;-0,642541253567662;-0,863029440451941;-0,623611984460947;-0,38852156593307;0,619944700037828;-2,3405347603467;-3,55777421240154;0,257134855108296;0,41852347313999;-0,490578589411319;-0,609439656891867;1,07950101789922;0,5250041917024;-0,0581230293556668;1,84197441419229;-1,12927228020718;-0,207028135652519;0,000498309692587104;-0,732542689420264;-0,936908327542563;0,317931146059505;-0,011968256524533;-0,171601386467272;-0,90925576122261;-0,623611984460947;-0,422106316642802;-0,983057689248022;2,54790660051551
"17";-0,680971434955924;-0,622256172108448;-0,862936492924901;-0,623858546225069;-0,389096713089421;0,498447815141879;-1,83837394746564;-3,2313895237042;0,155991379516807;0,0711583318518829;-0,50917505054793;-0,523064727018145;1,02270348285152;0,688921094259279;0,100400682308267;1,71038005672311;-1,1619778825855;-0,275547422528107;0,000498309692587104;-0,732542689420264;-1,07577592098919;0,178571376434093;-0,0189436058934862;0,144092710048147;-0,885173725255739;-0,623858546225069;-0,429018826327444;-0,983057689248022;2,37455382363781
"18";-0,650560432614809;-0,610276026240249;-0,860442203506818;-0,627916150896853;-0,399498367107224;0,39122248824034;-1,49987819418724;-2,89936706614947;0,04037922455122;0,028763156896763;-0,525244818595328;-0,526118134721654;0,957854276354366;0,82300384249254;0,255825744161925;1,5895435553973;-1,18661859931925;-0,313759987778249;0,0135151304540585;-0,732542689420264;-1,21464351443581;0,0392116068086814;0,0588357340363561;0,165806694222066;-0,86253661144688;-0,627916150896853;-0,436478381435914;-0,983057689248022;1,78040046967621
"19";-0,627828528256166;-0,60578892328296;-0,85841281127522;-0,632842267249846;-0,41115672470163;0,262068636203441;-1,30490927833798;-2,59290320077297;-0,0936573752847649;0,0977516688691925;-0,532993344068913;-0,554544696657041;0,917341212805626;0,925803963894946;0,402097845477847;1,49029233966831;-1,22524637727471;-0,266496982960638;0,13766027916118;-0,732542689420264;-1,35351110788244;-0,100148162816731;-0,00453493999468697;0,22424976096589;-0,841257724466555;-0,632842267249846;-0,444070087967;-0,983057689248022;2,17234356583158
"20";-0,616972696116104;-0,604897629075124;-0,853545633876956;-0,640037775618606;-0,430033420127448;0,226242369966335;-1,18291504901542;-2,32217437282772;-0,165006448638948;0,0551362592389762;-0,586761373007376;-0,594670456586848;0,867550399254968;1,00544867571396;0,536107451481734;1,41576206682801;-1,25517615749716;-0,145032700243066;0,306631705218425;-0,570262892999942;-1,21464351443581;-0,239507932442142;-0,00429707779685816;0,323280914174013;-0,821255570705049;-0,640037775618606;-0,452563634051364;-0,983057689248022;1,38661246133405
"21";-0,594314153502235;-0,596002221055755;-0,847636796151759;-0,644914408987805;-0,445361011490546;0,549802993582764;-0,939490071078308;-2,05459388813589;0,0603754477368986;0,126161941955997;-0,562471430109735;-0,592148076310036;0,841601972812163;1,04191405846186;0,651094900098608;1,32290806419027;-1,19112575954161;-0,253121080323331;0,0800085838913902;-0,570262892999942;-1,35351110788244;-0,378867702067554;-0,00534314023290872;0,696191631534976;-0,802453546169234;-0,644914408987805;-0,460017384058586;-0,983057689248022;2,03663487969909
